last_name,fisa_courts_reform_act,s_1551_iosra,fisa_improvements_act,fisa_transparency_and_modernization_act,surveillance_state_repeal_act,usa_freedom_prior_to_2014-05-18,voted_for_conyers_amash_amendment,voted_for_house_version_of_usa_freedom_act_2014,voted_for_massie_lofgren_amendment_2014,whistleblower_protection_for_ic_employees_contractors,1st_usaf_cloture_vote,straight_reauth,fisa_reform_act,amendment_1449_data_retention,amendment_1450_extend_implementation_to_1yr,amendment_1451_gut_amicus,final_passage_usaf,702_reforms,massie_lofgren_amendment_to_hr2685_defund_702,massie_lofgren_amendment_to_hr4870_no_backdoors
Chu,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Cicilline,,,,,,X,X,X,X,,,,,,,,OK,X,GOOD,GOOD
Clark,,,,,,X,,,X,,,,,,,,GOOD,,GOOD,GOOD
Clarke,,,,,,,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Clawson,,,,,,,,,,,,,,,,,GOOD,,,
Clay,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Cleaver,,,,,,,X,X,X,,,,,,,,GOOD,,GOOD,GOOD
Clyburn,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Coats,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Cochran,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Coffman,,,,,,X,X,X,X,,,,,,,,OK,,BAD,GOOD
Cohen,,,,,,X,X,X,X,,,,,,,,OK,X,GOOD,GOOD
Cole,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Collins,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Collins,,,,,,,,X,X,,,,,,,,OK,X,GOOD,GOOD
Collins,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Comstock,,,,,,,,,,,,,,,,,OK,,BAD,
Conaway,,,,X,,,,X,,,,,,,,,OK,,BAD,BAD
Connolly,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Conyers,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Cook,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Coons,X,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Cooper,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Corker,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Cornyn,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,OK,,,
Costa,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Costello,,,,,,,,,,,,,,,,,OK,,BAD,
Cotton,,,,X,,,,X,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,BAD
Courtney,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Cramer,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Crapo,,,,,,,,,,,BAD,GOOD,,BAD,BAD,BAD,BAD,,,
Crawford,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Crenshaw,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Crowley,,,,,,,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Cruz,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Cuellar,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Culberson,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Cummings,,,,,,X,X,,X,,,,,,,,OK,,GOOD,GOOD
Curbelo,,,,,,,,,,,,,,,,,OK,,GOOD,
Daines,,,,,,X,X,,X,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,GOOD
Davis,,,,,,,X,,X,,,,,,,,OK,,BAD,GOOD
Davis,,,,,,,X,X,,,,,,,,,OK,,BAD,BAD
Davis,,,,,,,,X,X,,,,,,,,GOOD,,GOOD,GOOD
DeFazio,,,,,X,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Degette,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Delaney,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Delauro,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Delbene,,,,,,X,X,,X,,,,,,,,OK,X,GOOD,GOOD
Denham,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Dent,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Desantis,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
DeSaulnier,,,,,X,,,,,,,,,,,,OK,X,GOOD,
DesJarlais,,,,,,,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Deutch,,,,,,X,X,X,X,,,,,,,,OK,X,GOOD,GOOD
Diaz-Balart,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Dingell,,,,,,,X,X,X,,,,,,,,OK,,GOOD,
Doggett,,,,,X,,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Dold,,,,,,,,,,,,,,,,,OK,,BAD,
Donnelly,,,,,,,,,,,OK,BAD,,GOOD,GOOD,GOOD,OK,,,
Donovan,,,,,,,,,,,,,,,,,OK,,BAD,
Doyle,,,,,,X,X,,X,,,,,,,,OK,,GOOD,GOOD
Duckworth,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Duffy,,,,,,X,X,,X,,,,,,,,OK,,GOOD,GOOD
Duncan,,,,,,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Duncan,,,,,,X,X,X,X,,,,,,,,GOOD,,GOOD,GOOD
Durbin,X,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Edwards,,,,,,,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Ellison,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Ellmers,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Emmer,,,,,,,,,,,,,,,,,GOOD,,GOOD,
Engel,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Enzi,,,,,,,,,,,,,,GOOD,GOOD,GOOD,GOOD,,,
Ernst,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Eshoo,,,,,,X,X,,X,,,,,,,,OK,X,GOOD,GOOD
